feature,mean_importance
Age,0.0018835114941606946
MaxHR,0.0025637522236746425
RestingBP,0.0034879497411589465
RestingECG,0.007781897388717596
FastingBS,0.008703313547370795
Sex,0.020575705315677196
ExerciseAngina,0.023858924511297896
Cholesterol,0.04031588744268035
Oldpeak,0.04067422965967278
ChestPainType,0.057746191529184296
ST_Slope,0.1431023293638315
