feature,mean_importance
MaxHR,0.0026118704077342293
Age,0.006521821011505691
RestingBP,0.008128413521563238
RestingECG,0.009181023225512197
Cholesterol,0.012974237033530423
ExerciseAngina,0.013224013123823253
FastingBS,0.01377658441662788
Sex,0.027049987372820782
Oldpeak,0.04712111891773731
ChestPainType,0.04987732670877291
ST_Slope,0.21300189115835919
