feature,shap_importance
ST_Slope,0.23950833526658363
ChestPainType,0.09677592885458075
Oldpeak,0.03368316877677485
MaxHR,0.033017839841395384
ExerciseAngina,0.03176185400192499
Cholesterol,0.029473757768909113
Sex,0.028766717096689084
Age,0.012226205969541038
FastingBS,0.004913677410174023
RestingBP,0.0041679719547791805
RestingECG,0.002674557155082153
