feature,shap_importance
ST_Slope,0.9136180208787082
ExerciseAngina,0.5623222495290413
ChestPainType,0.5479343364230218
Sex,0.37458287272375695
FastingBS,0.37294951692770417
Oldpeak,0.36275102492498107
Cholesterol,0.29414225266964966
MaxHR,0.23182245084555514
Age,0.12674473200086897
RestingECG,0.07387706738407304
RestingBP,0.026198586063981417
