feature,weight
intercept,0.17978590081042647
Age,0.1495968049387661
Sex,0.5042871934616394
ChestPainType,-0.6132263267513034
Cholesterol,-0.3684332880356446
MaxHR,-0.277033033358337
RestingBP,0.03785687062089
FastingBS,1.1352354273871355
RestingECG,-0.10608036676841695
ExerciseAngina,0.5776151776637878
Oldpeak,0.3949734002005713
ST_Slope,-1.0418702749591453
