feature,mean_importance
RestingBP,0.0003639368880697491
RestingECG,0.001098579620483997
Age,0.0014067221952326237
MaxHR,0.004273146830560059
FastingBS,0.014276076874112809
Oldpeak,0.01606759674820276
Cholesterol,0.020267177826689554
ExerciseAngina,0.02676025021215218
Sex,0.035363379537669305
ChestPainType,0.05129966994928322
ST_Slope,0.08271207834593941
